features,max_depth,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,1,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,2,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,3,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,4,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,5,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X1,6,0.6508461538461537,0.08795732558610656,0.6692040075505146,0.08972808646870228,0.17,0.18408356183138763,0.0
X3,1,0.5618000000000001,0.07223435069354708,0.5463792648798267,0.09566990346614497,0.0,0.00994193497946183,0.0
X3,2,0.5297076923076923,0.07067039754209253,0.5386780230413912,0.09560447610580296,0.0,0.002297204792491736,0.0
X3,3,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,4,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,5,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X3,6,0.5266461538461539,0.06806014743327445,0.5341208335468324,0.09708844883715505,0.0,0.0014047144239924814,0.0
X6,1,0.6027538461538462,0.07507228705736671,0.7037684138185248,0.0800459700847232,0.04,0.045039444787654315,0.0
X6,2,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,3,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,4,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,5,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
X6,6,0.5972153846153847,0.07643249564506281,0.7009648749112458,0.08099973372379264,0.04,0.041168915370186965,0.0
mean,1,0.5669384615384616,0.0699773403730127,0.5477904486916707,0.1402923615338461,0.0,0.009897663183710104,0.0
mean,2,0.5527230769230769,0.06524559156705463,0.6054524703123951,0.13469525446393865,0.0,0.0032931210631290675,0.0
mean,3,0.6219384615384616,0.10108678560945575,0.6531613294222934,0.13064611319130265,0.11,0.14253535926011163,0.0
mean,4,0.6476000000000001,0.07657824864594694,0.6730587635983575,0.08923206814046829,0.12,0.1409583590840725,0.0
mean,5,0.648,0.07432218364827907,0.6732787535773345,0.08797994234278897,0.09,0.13494747556999287,0.0
mean,6,0.6575538461538462,0.07622548145908059,0.6832840486534201,0.08739730898984237,0.15,0.17094967015280094,0.0
F_w_mean,1,0.6181999999999999,0.07998818107961972,0.5540628096546121,0.1210118031819895,0.1,0.08110061193724172,0.0
F_w_mean,2,0.5998769230769231,0.07560554126400053,0.5686410271172518,0.11561610598481575,0.06,0.04261828361655484,0.0
F_w_mean,3,0.6151692307692307,0.10593534256674553,0.6194250130699454,0.13663786606930642,0.1,0.13918897505372185,0.0
F_w_mean,4,0.6238923076923077,0.08911994576820505,0.6423344423397772,0.11722160812933677,0.11,0.11690205385030739,0.0
F_w_mean,5,0.6450615384615384,0.09229853672543678,0.6617694711224409,0.11041922988166417,0.18,0.17871899066841945,0.0
F_w_mean,6,0.6509538461538462,0.08222304202018588,0.6710133073507961,0.09128598922592715,0.2,0.1681849521976454,0.0
above_4,1,0.5741999999999999,0.05489952306838462,0.6888229568203476,0.06915843620139446,0.0,0.002270486994151777,0.0
above_4,2,0.5801692307692307,0.06238870137430012,0.6675539589911543,0.07072445994958008,0.0,0.008162465687706844,0.0
above_4,3,0.5813692307692307,0.06237390404107669,0.6707437472558331,0.07290003781539883,0.0,0.008588432327676698,0.0
above_4,4,0.5813692307692307,0.06237390404107669,0.6707437472558331,0.07290003781539883,0.0,0.008588432327676698,0.0
above_4,5,0.5813692307692307,0.06237390404107669,0.6707437472558331,0.07290003781539883,0.0,0.008588432327676698,0.0
above_4,6,0.5813692307692307,0.06237390404107669,0.6707437472558331,0.07290003781539883,0.0,0.008588432327676698,0.0
above_5,1,0.5312923076923078,0.04510249733963953,0.6698301809871695,0.09199285233918018,0.0,5.272345664941724e-06,0.0
above_5,2,0.572046153846154,0.08202209400719689,0.6265025775933197,0.09612094514173168,0.02,0.027067952050121358,0.0
