features,nn,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,1,0.5462153846153845,0.12220516651064098,0.45402181257102336,0.30443350352074683,0.07,0.06630327880521059,0.0
X1,2,0.4808461538461538,0.07886333771470086,0.12252066003550383,0.24894080469829405,0.02,0.0007907119450112354,0.0
X1,3,0.5317846153846154,0.11889774235070519,0.3265158200685416,0.3302440522183169,0.06,0.04774645985284098,0.0
X1,4,0.5091076923076923,0.10496991510391478,0.21675516519812857,0.31606520952452066,0.03,0.01767443424710513,0.0
X1,5,0.5814461538461538,0.13048889771178046,0.5069271815530318,0.2831582298568987,0.12,0.1274682950528191,0.0
X1,6,0.5442153846153845,0.11374415805272928,0.36623255269130917,0.3256472661237853,0.05,0.051197153631488135,0.0
X1,7,0.6000923076923077,0.09678007032356568,0.5672394823187776,0.24163369219833494,0.08,0.08974970006018701,0.0
X1,8,0.5788615384615384,0.11546307486293934,0.4820656302952504,0.2952424554859988,0.07,0.09527114102690093,0.0
X1,9,0.6199538461538462,0.10011034267276868,0.6167570992373154,0.18638068786761408,0.12,0.13582982312257408,0.0
X1,10,0.6002923076923077,0.10934094010676858,0.5369852377115982,0.26889685674212144,0.12,0.11775817848187342,0.0
X1,11,0.6329538461538461,0.09205482801541015,0.6441385627132555,0.1426414225790615,0.14,0.14589082162803835,0.0
X1,12,0.6188,0.0948128221423851,0.5938630127942914,0.21452994103929743,0.12,0.12043055885325171,0.0
X1,13,0.6342615384615384,0.08389705018405474,0.6547614733882433,0.10628016557995709,0.13,0.12690538344080426,0.0
X1,14,0.6384461538461538,0.08977591959787977,0.6453181152836155,0.14316079896185738,0.15,0.15391070166836895,0.0
X1,15,0.6382615384615383,0.08311812511055269,0.6564431481949182,0.10673986294376278,0.13,0.1348590718209972,0.0
X6,1,0.5335846153846154,0.09170083981986556,0.5287475095147333,0.22949550484920564,0.01,0.016100169942064535,0.0
X6,2,0.4880615384615385,0.06915110630321528,0.21873102198054434,0.27658609530356854,0.0,0.00023377266847790512,0.0
X6,3,0.5344615384615384,0.10223212941156838,0.49027686477602006,0.26431899767034184,0.01,0.027893818727152242,0.0
X6,4,0.5168,0.08635023769681158,0.3329895444594965,0.30039355523888456,0.0,0.006774283996835995,0.0
X6,5,0.5453230769230769,0.09266812196436468,0.5140203541915597,0.2396091982371371,0.02,0.023137013021030106,0.0
X6,6,0.5155846153846153,0.08565063342391088,0.37338840476455004,0.27672334459947856,0.01,0.006150811052413885,0.0
X6,7,0.5506,0.08732145469301425,0.5388937763703661,0.21658105833901095,0.01,0.01996472947608985,0.0
X6,8,0.5361692307692307,0.08783806914164577,0.46979407944932866,0.2568088309373226,0.0,0.013668108736017426,0.0
X6,9,0.5654307692307691,0.09334023910772027,0.5953675946265222,0.1743609361851565,0.02,0.03894085946510284,0.0
X6,10,0.5476,0.09088722968992982,0.5510584631337556,0.19552901736166897,0.01,0.02238108239139236,0.0
X6,11,0.5715230769230769,0.082697851692509,0.6225782752994504,0.14837254121809257,0.0,0.027661130117985766,0.0
X6,12,0.5615692307692308,0.08269655946135583,0.5986581036626548,0.15834874752025896,0.0,0.020838428540085774,0.0
X6,13,0.5849076923076924,0.08170337314598433,0.665870750756817,0.10729741382683651,0.02,0.03787945511399449,0.0
X6,14,0.5701384615384616,0.08128351871198233,0.6370993650604764,0.13096710660204255,0.01,0.024608022015074726,0.0
X6,15,0.5868923076923077,0.08268324959333426,0.67260560163436,0.10515069763494538,0.03,0.04174423462055399,0.0
mean,1,0.5649076923076923,0.09507361084596473,0.5720185415582176,0.17550071860774222,0.03,0.04124053582650822,0.0
mean,2,0.4995230769230769,0.079686870916417,0.30188184128718987,0.2665332954635617,0.0,0.00191227089633772,0.0
