features,penalty,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,l1,0.6223538461538461,0.06732327907436954,0.6613366607510607,0.07806116773704595,0.03,0.054916521916848704,0.0
X1,l2,0.6323538461538462,0.07398207203267912,0.6642489437114572,0.0811168710431122,0.08,0.09344048455921905,0.0
X1,elasticnet,0.6323538461538462,0.07398207203267912,0.6642489437114572,0.0811168710431122,0.08,0.09344048455921905,0.0
X1,,0.6355230769230769,0.07708324709201424,0.6638233901567543,0.08178591391659613,0.1,0.11016559432870732,0.0
X3,l1,0.5479692307692308,0.06933406993994994,0.6746910066213349,0.05680159887158788,0.0,0.004327159337282116,0.0
X3,l2,0.5511846153846153,0.07197233360628047,0.6753740990671981,0.05769004293559356,0.0,0.006486644584077883,0.0
X3,elasticnet,0.5507846153846153,0.0713638879058689,0.67515561167224,0.05739190930880693,0.0,0.006014549609702602,0.0
X3,,0.5523692307692307,0.07294446943601533,0.6758189458278345,0.05810213014570779,0.0,0.007442796226473591,0.0
X5,l1,0.5930923076923077,0.07598333513958776,0.6687948105315167,0.07873561905982351,0.01,0.03578748703740553,0.0
X5,l2,0.5934923076923078,0.07570226795004933,0.6662406665257596,0.0770262903606798,0.01,0.03567699223167908,0.0
X5,elasticnet,0.5934923076923078,0.07570226795004933,0.6667114598997789,0.07743314452655561,0.01,0.03567699223167908,0.0
X5,,0.5942615384615385,0.07592049874821369,0.6648162667565322,0.07623182143157514,0.01,0.03689585697180797,0.0
X6,l1,0.6051538461538462,0.0665798004088718,0.7092799061008644,0.0655986278450959,0.02,0.030387035678001162,0.0
X6,l2,0.6039538461538462,0.06796910366669871,0.7057465727675312,0.07223608040034772,0.02,0.031836510235898174,0.0
X6,elasticnet,0.6039538461538462,0.06796910366669871,0.7057465727675312,0.07223608040034772,0.02,0.031836510235898174,0.0
X6,,0.6055692307692307,0.07138719491360573,0.7047439525807003,0.07865895237541672,0.03,0.040663273606442174,0.0
mean,l1,0.5448923076923079,0.09350945400421114,0.6242842069479765,0.09612863698169433,0.0,0.02387642501225784,0.0
mean,l2,0.5445230769230771,0.09136928646364564,0.621056262769176,0.09353039937661481,0.0,0.021179787377916592,0.0
mean,elasticnet,0.544123076923077,0.09138821023750383,0.6208388714648282,0.0937859030365171,0.0,0.020979492017289103,0.0
mean,,0.5449230769230771,0.09169824451611536,0.6197065346775998,0.09230626510316262,0.0,0.021778676190603807,0.0
F_w_mean,l1,0.5655076923076923,0.08215101694926738,0.6297139037485419,0.08675048757004634,0.0,0.02262537025895539,0.0
F_w_mean,l2,0.565123076923077,0.0820065100605293,0.6287845368303719,0.0868195335217684,0.0,0.022187320827023793,0.0
F_w_mean,elasticnet,0.5647230769230769,0.08154143826206497,0.6285479776905869,0.08656620308549894,0.0,0.021335955314892296,0.0
F_w_mean,,0.565123076923077,0.08179641490385908,0.6277977422732214,0.0865831183534527,0.0,0.021915748451744488,0.0
above_4,l1,0.6177076923076923,0.07966809700547248,0.690988592646946,0.0991568685041462,0.05,0.07934345498889295,0.0
above_4,l2,0.6069846153846153,0.08817234870934922,0.6763200973096177,0.11018579372427931,0.05,0.08148234389765308,0.0
above_4,elasticnet,0.6105076923076923,0.08365498460763794,0.6806170160771248,0.10636644785717633,0.05,0.07658919168443135,0.0
above_4,,0.6021846153846153,0.088962775274917,0.6681120772399674,0.11314078142452468,0.04,0.07539752894941587,0.0
above_5,l1,0.5832615384615384,0.09406614316501358,0.6319733032543398,0.11517964923621271,0.03,0.05938587191948297,0.0
above_5,l2,0.5816615384615385,0.0937673515303581,0.6281858095012163,0.11564100411580236,0.03,0.056826597323130335,0.0
above_5,elasticnet,0.5816615384615385,0.0937673515303581,0.6281858095012163,0.11564100411580236,0.03,0.056826597323130335,0.0
above_5,,0.5796615384615386,0.09292449820614532,0.6220635789375231,0.1179535650293693,0.03,0.05284681197787677,0.0
"X1,X3",l1,0.5826769230769231,0.07007844125688073,0.6397269582156838,0.07475691416737694,0.01,0.017765270092489405,0.0
"X1,X3",l2,0.5861692307692308,0.07087901017113767,0.6403591154593711,0.07403593046055358,0.01,0.021216748496067583,0.0
"X1,X3",elasticnet,0.5861692307692308,0.07087901017113767,0.6403591154593711,0.07403593046055358,0.01,0.021216748496067583,0.0
"X1,X3",,0.5853692307692308,0.07071820735900342,0.6389373188651607,0.07298804635605623,0.01,0.02041904139468309,0.0
"X1,X5",l1,0.5790307692307691,0.07824061052992029,0.6428680438602525,0.08265595714419079,0.0,0.026831261455009137,0.0
"X1,X5",l2,0.5766461538461538,0.0785192487612783,0.6400559576798405,0.08632717393653863,0.0,0.025405456726957265,0.0
"X1,X5",elasticnet,0.5762461538461539,0.07971467461585996,0.6399081744286089,0.08670092762772567,0.0,0.02687770634154929,0.0
"X1,X5",,0.5778153846153845,0.07700862320115377,0.6388175437557758,0.08634376231311407,0.0,0.02406593689360681,0.0
"X1,X6",l1,0.6059692307692308,0.08089449041734335,0.6424490708815737,0.08613093551707877,0.04,0.06260821261508709,0.0
"X1,X6",l2,0.6008769230769231,0.08006188582671643,0.6354486451259755,0.08405073814172348,0.03,0.05339497730439613,0.0
"X1,X6",elasticnet,0.6016615384615384,0.08110820590475884,0.6365776310825477,0.08515691775137867,0.04,0.05678921783965718,0.0
"X1,X6",,0.6024769230769231,0.0804872425482309,0.6361721008899207,0.08363583349650386,0.04,0.05655264684286021,0.0
"X1,mean",l1,0.5885538461538462,0.07471676538492415,0.6406855721672058,0.08163982067548063,0.01,0.0291724237421791,0.0
"X1,mean",l2,0.5882000000000001,0.07554082872681321,0.639112348414773,0.08115345713171676,0.01,0.030250099228862126,0.0
"X1,mean",elasticnet,0.5893846153846153,0.07510828474855369,0.6401528000901524,0.08081072238323136,0.01,0.030591629530430153,0.0
