features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,Categorical,0.6382923076923076,0.08777779773466596,0.6619486655695814,0.0882593915143885,0.15,0.1480644242623823,0.0
X3,Categorical,0.5043538461538463,0.06345106860021252,0.5444569349351481,0.09397282289710765,0.0,0.00018811233287152618,0.0
X5,Categorical,0.5462461538461539,0.07662243402848612,0.6376833983156649,0.0906825156646977,0.0,0.008238542398967041,0.0
above_3,Categorical,0.5526923076923077,0.04671878605458624,0.6908677314281029,0.037868871581443954,0.0,7.37587070999135e-05,0.0
above_4,Categorical,0.640646153846154,0.07620967029290866,0.6828593322076792,0.07321579610056447,0.11,0.12050343085963966,0.0
above_5,Categorical,0.5693692307692308,0.0851957981573542,0.6120316601671209,0.10725944509204376,0.03,0.029685859496628053,0.0
count_3,Categorical,0.6140923076923076,0.06286558215843026,0.7241604640687459,0.05559854326517373,0.01,0.03261063178741297,0.0
count_5,Categorical,0.5693692307692308,0.0851957981573542,0.6120316601671209,0.10725944509204376,0.03,0.029685859496628053,0.0
"X1,X3",Categorical,0.5873384615384616,0.07329533514382859,0.6440703705190863,0.07734652561410806,0.02,0.02580376572870058,0.0
"X1,X5",Categorical,0.609523076923077,0.07810376802614363,0.6459977496496636,0.07985383041763791,0.03,0.06147317634157401,0.0
"X1,above_3",Categorical,0.5996153846153847,0.09065400117476383,0.6344971039167331,0.09076635055224332,0.04,0.07517922282022427,0.0
"X1,above_4",Categorical,0.648553846153846,0.08085850597287636,0.6940552697465511,0.08074875328466405,0.1,0.1569030958754064,0.0
"X1,above_5",Categorical,0.6361692307692308,0.08086499670628629,0.6591251907724218,0.08373109283985523,0.11,0.12295550703549907,0.0
"X1,count_3",Categorical,0.6204461538461538,0.07705505447482561,0.6553684162823314,0.08338957464503748,0.08,0.07754786985578888,0.0
"X1,count_5",Categorical,0.6361692307692308,0.08086499670628629,0.6591251907724218,0.08373109283985523,0.11,0.12295550703549907,0.0
"X3,X5",Categorical,0.5584923076923078,0.08086894357850213,0.6023031013775586,0.08813505605744978,0.0,0.016968882798474194,0.0
