features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
X1,Categorical,0.6382923076923076,0.08777779773466596,0.6619486655695814,0.0882593915143885,0.15,0.1480644242623823,0.0
X3,Categorical,0.5043538461538463,0.06345106860021252,0.5444569349351481,0.09397282289710765,0.0,0.00018811233287152618,0.0
X5,Categorical,0.5462461538461539,0.07662243402848612,0.6376833983156649,0.0906825156646977,0.0,0.008238542398967041,0.0
X6,Categorical,0.6111538461538462,0.06694354240569052,0.7196612230014559,0.049947459259939285,0.05,0.03792260129921854,0.0
above_4,Categorical,0.628876923076923,0.07253739455940952,0.6783966845150055,0.06371437596099168,0.06,0.08164642028395996,0.0
above_5,Categorical,0.5563384615384616,0.07418122060956035,0.6000419248951527,0.09373786883303865,0.0,0.009614937481103869,0.0
count_3,Categorical,0.5830153846153846,0.06365919614979339,0.690076962934714,0.05781934441150294,0.01,0.010473738365604057,0.0
count_5,Categorical,0.5563384615384616,0.07418122060956035,0.6000419248951527,0.09373786883303865,0.0,0.009614937481103869,0.0
"X1,X3",Categorical,0.5873384615384616,0.07329533514382859,0.6440703705190863,0.07734652561410806,0.02,0.02580376572870058,0.0
"X1,X5",Categorical,0.609523076923077,0.07810376802614363,0.6459977496496636,0.07985383041763791,0.03,0.06147317634157401,0.0
"X1,X6",Categorical,0.5973230769230768,0.08005844610595067,0.6228897377175078,0.09167872044704377,0.05,0.04873439090614784,0.0
"X1,above_4",Categorical,0.6181538461538462,0.07306315659804884,0.6717022787524171,0.08000471388869676,0.03,0.06290759825779724,0.0
"X1,above_5",Categorical,0.6258153846153846,0.0762541934049159,0.6563952430855099,0.08106507828535063,0.06,0.08592547388690897,0.0
"X1,count_3",Categorical,0.5897384615384615,0.07340285372457424,0.6304865853219592,0.07864284563486154,0.0,0.028012196743968265,0.0
"X1,count_5",Categorical,0.6258153846153846,0.0762541934049159,0.6563952430855099,0.08106507828535063,0.06,0.08592547388690897,0.0
"X3,X5",Categorical,0.5584923076923078,0.08086894357850213,0.6023031013775586,0.08813505605744978,0.0,0.016968882798474194,0.0
