features,model,acc_mean,acc_std,f1_mean,f1_std,above_73,norm_above_73,acc_mean_above_73
above_3,Multinomial,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_3,Complement,0.45230769230769224,0.016164831429616854,0.0,0.0,0.0,0.0,0.0
above_4,Multinomial,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_4,Complement,0.45230769230769224,0.016164831429616854,0.0,0.0,0.0,0.0,0.0
above_5,Multinomial,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
above_5,Complement,0.45230769230769224,0.016164831429616854,0.0,0.0,0.0,0.0,0.0
count_3,Multinomial,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
count_3,Complement,0.45230769230769224,0.016164831429616854,0.0,0.0,0.0,0.0,0.0
count_5,Multinomial,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
count_5,Complement,0.45230769230769224,0.016164831429616854,0.0,0.0,0.0,0.0,0.0
"above_3,above_4",Multinomial,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
"above_3,above_4",Complement,0.5718923076923076,0.08496761791809017,0.5923208664375808,0.09897733970265961,0.03,0.03138625524812233,0.0
"above_3,above_5",Multinomial,0.5476923076923078,0.01616483142961688,0.7076113360323885,0.013609663671395968,0.0,0.0,0.0
"above_3,above_5",Complement,0.5669076923076923,0.08561161647661866,0.575880014736864,0.10661921056566033,0.04,0.028388381867435863,0.0
"above_3,count_3",Multinomial,0.5794461538461538,0.05280555825146176,0.7053343151558849,0.03721392118278725,0.0,0.0021784237574282717,0.0
"above_3,count_3",Complement,0.5715076923076923,0.08537823399577135,0.591917505093043,0.09891095470524498,0.03,0.03170149042227888,0.0
"above_3,count_5",Multinomial,0.5453538461538462,0.0659293076671328,0.6495615585474187,0.06604716634938747,0.0,0.0025498415673979036,0.0
